Samuel Steinberg,,,,,,,,,,,,,,,,,
Project 1: Class IV Classification Sheet -- CS420,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,
2,12,1,0.864,0.769230769,1.904217746,1.950063756,0,,,,,,,,,,
3,7,1,0.704,0.692307692,1.835989762,2.10390991,0,,,,,,,,,,
5,10,1,0.656,0.538461538,1.904429343,1.738149333,0,,,,,,,,,,
1,1,1,0.968,0.846153846,2.075381329,2.257756064,0,,,,,,,,,,
2,11,1,0.944,0.769230769,2.148205178,2.295465679,0,,,,,,,,,,
4,2,1,0.888,0.615384615,2.198279846,2.133937566,0,,,,,,,,,,
3,7,1,0.76,0.692307692,2.287475114,2.199687795,0,,,,,,,,,,
4,5,1,0.528,0.615384615,2.0381234,2.133937566,0,,,,,,,,,,
5,11,1,0.504,0.538461538,1.995134532,2.045841641,0,,,,,,,,,,
6,1,1,0.48,0.461538462,1.948426968,1.88109476,0,,,,,,,,,,
1,10,1,0.944,0.846153846,1.651321663,1.76049503,0,,,,,,,,,,
2,3,1,0.864,0.769230769,1.819369752,1.826245258,0,,,,,,,,,,
6,9,1,0.608,0.461538462,1.885145561,1.669180337,0,,,,,,,,,,
1,6,1,0.84,0.846153846,2.185004664,2.133937566,0,,,,,,,,,,
8,3,1,0.464,0.307692308,1.579457211,1.352030102,0,,,,,,,,,,
3,2,1,0.68,0.692307692,1.960696277,2.16197818,0,,,,,,,,,,
3,7,1,0.72,0.692307692,2.226106069,2.199687795,0,,,,,,,,,,
4,7,1,0.632,0.615384615,1.530986384,1.884313528,0,,,,,,,,,,
2,8,1,0.848,0.769230769,2.147082702,2.199687795,0,,,,,,,,,,
3,3,1,0.768,0.692307692,2.160856128,2.199687795,0,,,,,,,,,,
6,3,1,0.44,0.461538462,1.539519757,1.669180337,0,,,,,,Parameter,Lambda,Lambda_t,H,H_t
0,-,1,0.992,0.923076923,1.898610812,2.199687795,0,,,,,,Average,0.663777778,0.626068376,1.874569663,1.971873548
2,3,1,0.768,0.769230769,2.0690976,2.199687795,0,,,,,,Standard Deviation,0.177638978,0.14496658,0.226958264,0.227451359
3,8,1,0.648,0.692307692,1.975057101,2.199687795,0,,,,,,Skewness,0.261262578,-0.022103902,0.000337884,-0.726473949
4,6,1,0.496,0.615384615,1.870550225,2.133937566,0,,,,,,,,,,
5,12,1,0.488,0.538461538,1.852677327,2.045841641,0,,,,,,,,,,
6,5,1,0.344,0.461538462,1.510357812,1.88109476,0,,,,,,,,,,
3,6,1,0.736,0.692307692,1.98934299,2.038159682,0,,,,,,,,,,
4,8,1,0.616,0.615384615,1.645264308,1.76049503,0,,,,,,,,,,
5,12,1,0.608,0.538461538,1.645499867,1.738149333,0,,,,,,,,,,
6,3,1,0.528,0.461538462,1.621779373,1.669180337,0,,,,,,,,,,
7,10,1,0.48,0.384615385,1.584081074,1.546593564,0,,,,,,,,,,
5,3,1,0.52,0.538461538,1.882970142,1.987773371,0,,,,,,,,,,
4,4,1,0.56,0.615384615,1.76255542,2.075869297,0,,,,,,,,,,
5,9,1,0.48,0.538461538,1.622212101,1.987773371,0,,,,,,,,,,
6,11,1,0.456,0.461538462,1.603282372,1.88109476,0,,,,,,,,,,
3,2,1,0.776,0.692307692,1.765949717,1.950063756,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,0.177638978,0.14496658,0.226958264,0.227451359,,,<--standard deviations,,,,,,,,
,,,0.663777778,0.626068376,1.874569663,1.971873548,,,<---- Averages,,,,,,,,
,,,0.64,0.615384615,1.891878187,2.012966527,,,<--- Medians,,,,,,,,
,,,0.031555606,0.021015309,0.051510054,0.05173412,,,<---- Variance,,,,,,,,
,,,0.261262578,-0.022103902,0.000337884,-0.726473949,,,<---- Skewness,,,,,,,,
