Samuel Steinberg,, ,,,,,,
Wrap:,TRUE,,,,,,,
K(states):,5,,,,,,,
Radius:,1,,,,,,,
Quiescence:,TRUE,,,,,,,
random seed:,-2.65E+18,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment #:,0,,,,,,,
Rule:,2.13E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,1.951239866,1.987773371,0,Class III complex behavior
1,6,2,0.84,0.846153846,2.183930616,2.045841641,0,Class III complex behavior
2,2,2,0.792,0.769230769,2.143993402,1.987773371,0,Class III complex behavior
3,12,2,0.784,0.692307692,2.150232848,2.038159682,0,Class III complex behavior
4,9,2,0.704,0.615384615,1.9010446,1.76049503,0,Class III complex behavior
5,10,1,0.656,0.538461538,1.904429343,1.738149333,0,This is a borderline  IV --> Close to IV than III
6,4,2,0.536,0.461538462,1.521788108,1.419556299,0,Class III complex behavior
7,1,2,0.512,0.384615385,1.505798561,1.334679141,0,Class III complex behavior
8,8,2,0.392,0.307692308,1.352287527,1.198183948,0,Class III complex behavior
9,5,2,0.248,0.230769231,1.033069894,0.991264261,0,Class III complex behavior
10,3,0,0.168,0.153846154,0.653109112,0.619382195,0,Textbook Class I -- solid black
11,11,0,0.144,0.076923077,0.594619344,0.391243564,0,Textbook Class I -- solid black
12,7,0,0,0,0,0,0,Textbook Class I -- solid black
,,,,,,,,
,,,,,,,,
Experiment #:,1,,,,,,,
Rule:,1.43E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,1.728368632,2.133937566,0,Complex behavior
1,8,2,0.872,0.846153846,2.045753359,2.257756064,0,Fringe class IV but not quite chaotic enough
2,1,2,0.848,0.769230769,1.976068376,2.199687795,0,"Almost class IV, not chaotic enough"
3,7,1,0.704,0.692307692,1.835989762,2.10390991,0,Class IV --> behavior more chaotic
4,5,0,0.56,0.615384615,1.730502899,2.075869297,0,Class II Oscillations
5,11,0,0.536,0.538461538,1.689882973,1.987773371,0,Class II Oscillations
6,12,0,0.528,0.461538462,1.631378636,1.669180337,0,Class II Oscillations
7,4,2,0.408,0.384615385,1.526658101,1.546593564,0,Complex behavior
8,10,0,0.36,0.307692308,1.402866265,1.352030102,0,Too much black space for III
9,9,0,0.28,0.230769231,1.256132626,1.145110414,0,Too much black space for III
10,6,2,0.128,0.153846154,0.674095106,0.773228349,0,More complex than previous step
11,3,0,0.048,0.076923077,0.277839574,0.391243564,0,Class I solid black color
12,2,0,0,0,0,0,0,Class I solid black color
,,,,,,,,
,,,,,,,,
Experiment #:,2,,,,,,,
Rule:,1.14E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,0,0.992,0.923076923,1.665444353,2.10390991,0,Class II behavior
1,8,2,0.872,0.846153846,1.948112692,2.16197818,0,Complex but not chaotic
2,12,1,0.864,0.769230769,1.904217746,1.950063756,0,IV patterns with patterns in holes
3,3,2,0.784,0.692307692,1.984977758,1.950063756,0,Mix between II and III
4,5,0,0.64,0.615384615,1.946102509,1.884313528,0,Mix between II and III
5,7,2,0.496,0.538461538,1.744117885,1.833927218,0,Mix between II and III
6,10,2,0.448,0.461538462,1.653843922,1.669180337,0,Complex III behavior
