Name: Samuel Steinberg,,,
"CS420 Project 2 -- February 16th, 2018",,,
Description: The following are the averages over 4 trial runs for each of the listed parameters,,,
,,,
"Experiment 0 Rules: j1=1, j2=-0.1, r1=1, r2=2, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568892621,1.429047931,1
1,1.509779498,0.488161055,0.02444321
2,1.501254027,0.496686526,0.006665432
3,1.489565146,0.508375406,0.016297531
4,1.495127502,0.502813051,0.00555679
5,1.50364412,0.494296433,0.011554321
6,1.49775303,0.500187523,0.000371605
7,1.497939079,0.500001473,1.23E-06
8,1.499466412,0.49847414,0.003054321
9,1.494433435,0.503507118,0.006914815
10,1.497492228,0.500448325,0.000890123
11,1.496513311,0.501427242,0.002829517
12,1.493228306,0.504712246,0.009260494
13,1.503925957,0.494014596,0.012135518
14,1.500392041,0.497548511,0.0049194
,,,
"Experiment 1 Rules: j1=1, j2=-0.1, r1=1, r2=5, h=-4",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.52319587,0.560809657,1
1,0.85750164,0.226503887,0.548887654
2,0.860205318,0.223800209,0.553332099
3,0.846453779,0.237551748,0.533332099
4,0.850710818,0.233294709,0.538887654
5,0.872757713,0.211247813,0.579109877
6,0.872075004,0.211930523,0.577406173
7,0.869807474,0.214198053,0.572062257
8,0.866911729,0.217093798,0.565832099
9,0.859913709,0.224091817,0.552838272
10,0.860981999,0.223023528,0.554665432
11,0.868366854,0.215638673,0.568887654
12,0.86686656,0.217138966,0.565739506
13,0.868840104,0.215165423,0.569913295
14,0.867162214,0.216843313,0.566347972
,,,
"Experiment 2 Rules: j1=1, j2=-0.1, r1=1, r2=5, h=-2",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.56115491,1.28203141,1
1,1.388521245,0.454665075,0.091109877
2,1.390272211,0.452914108,0.09444321
3,1.369451855,0.473734465,0.057035802
4,1.34845351,0.494732809,0.023332099
5,1.410811604,0.432374715,0.136887654
6,1.405988869,0.43719745,0.126295062
7,1.406013457,0.437172862,0.126347972
8,1.401027881,0.442158439,0.115832099
9,1.387736533,0.455449786,0.089628395
10,1.391082404,0.452103916,0.095998765
11,1.392731099,0.45045522,0.099190685
12,1.400084249,0.443102071,0.113887654
13,1.402945643,0.440240676,0.119827825
14,1.395163642,0.448022677,0.103967019
,,,
"Experiment 3 Rules: j1=1, j2=-0.1, r1=1, r2=5, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568992388,1.430943492,1
1,1.510692133,0.489243747,0.022220988
2,1.47628532,0.52365056,0.044445679
3,1.485688448,0.514247432,0.027408642
4,1.484887429,0.515048451,0.028890123
5,1.503019458,0.496916422,0.006220988
6,1.504323892,0.495611988,0.008887654
7,1.497054813,0.502881067,0.00571552
8,1.504052981,0.495882899,0.008332099
9,1.502752482,0.497183398,0.005677778
10,1.503019458,0.496916422,0.006220988
11,1.50134443,0.498591449,0.002827048
12,1.501227492,0.498708388,0.002591358
13,1.500362757,0.499573123,0.000853466
14,1.49761871,0.50231717,0.004604409
,,,
"Experiment 4 Rules: j1=1, j2=-0.1, r1=1, r2=5, h=2",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.559910524,1.258388082,1
1,1.361624253,0.456674353,0.088887654
2,1.368390672,0.449907934,0.101109877
3,1.363290903,0.455007703,0.091850617
4,1.345514808,0.472783798,0.061665432
5,1.386569707,0.431728899,0.136887654
6,1.388383848,0.429914758,0.140739506
7,1.385632042,0.432666564,0.1349194
8,1.380657763,0.437640843,0.124720988
9,1.382592632,0.435705974,0.128640741
10,1.376590847,0.441707759,0.116665432
11,1.376124216,0.44217439,0.115756341
12,1.38370678,0.434591826,0.130924691
13,1.375844289,0.442454317,0.115212441
14,1.382012372,0.436286234,0.127459083
,,,
"Experiment 5 Rules: j1=1, j2=-0.1, r1=1, r2=5, h=4",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.515186741,0.408636203,1
1,0.742167352,0.181655592,0.637776543
2,0.742167352,0.181655592,0.637776543
3,0.738739968,0.185082977,0.632591358
4,0.73469531,0.189127634,0.627220988
5,0.749887227,0.173935717,0.65244321
6,0.749952526,0.173870419,0.652591358
7,0.748850269,0.174972676,0.650157496
8,0.74851464,0.175308304,0.64944321
9,0.744650702,0.179172243,0.641974074
10,0.746354527,0.177468417,0.645109877
11,0.749653857,0.174169087,0.651917957
12,0.748426707,0.175396238,0.649258025
13,0.746806701,0.177016243,0.645981671
14,0.747074655,0.17674829,0.646506702
,,,
,,,
"Experiment 6 Rules: j1=1, j2=-0.1, r1=1, r2=9, h=-6",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.559067562,1.242371798,1
1,1.428279732,0.373159628,0.488887654
2,1.434668538,0.366770822,0.371109877
3,1.408630962,0.392808398,0.232591358
4,1.34710478,0.45433458,0.09444321
5,1.281867436,0.519571924,0.001779012
6,1.251857079,0.549582281,0.038149383
7,1.256284683,0.545154677,0.033017108
8,1.293846807,0.507592552,0.013887654
9,1.362664558,0.438774802,0.122714815
10,1.397856582,0.403582777,0.201332099
11,1.414048303,0.387391056,0.250705836
12,1.41901603,0.38242333,0.26944321
13,1.412042406,0.389396954,0.243759449
14,1.394745967,0.406693392,0.193173369
,,,
,,,
"Experiment 7 Rules: j1=1, j2=-0.1, r1=1, r2=9, h=-3",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.566760856,1.388544384,1
1,1.534815268,0.420489972,0.486665432
2,1.551086742,0.404218498,0.328887654
3,1.519771614,0.435533625,0.151109877
4,1.446188952,0.509116288,0.015001235
5,1.360858555,0.594446685,0.142223457
6,1.308249553,0.647055686,0.20592716
7,1.319192856,0.636112383,0.193334568
8,1.381086656,0.574218583,0.115279012
9,1.469995012,0.485310228,0.029381481
10,1.513076202,0.442229038,0.130887654
11,1.532068963,0.423236277,0.19474624
12,1.534743643,0.420561597,0.205924691
13,1.524543102,0.430762138,0.166836372
14,1.501323921,0.453981318,0.099205115
,,,
,,,
"Experiment 8 Rules: j1=1, j2=-0.1, r1=1, r2=9, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568995237,1.430997638,1
1,1.552781647,0.447211228,0.526665432
2,1.584941127,0.415051748,0.337776543
3,1.551487559,0.448505317,0.125924691
4,1.468044975,0.5319479,0.058890123
5,1.369530438,0.630462437,0.201779012
6,1.310745348,0.689247528,0.271112346
7,1.328182225,0.67181065,0.251429806
8,1.408500363,0.591492513,0.150279012
9,1.503777827,0.496215049,0.007653086
10,1.548117624,0.451875252,0.115554321
11,1.567535073,0.432457803,0.18444321
12,1.570906201,0.429086674,0.19981358
13,1.558144944,0.441847931,0.148032953
14,1.530438214,0.469554662,0.067459083
,,,
"Experiment 9 Rules: j1=1, j2=-0.1, r1=1, r2=9, h=3",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.56664564,1.386355297,1
1,1.538231685,0.414769252,0.46444321
2,1.549611071,0.403389867,0.339998765
3,1.515330503,0.437670435,0.143702469
4,1.445351853,0.507649085,0.012223457
5,1.360438249,0.592562689,0.139112346
6,1.314558414,0.638442523,0.19518642
7,1.325101174,0.627899764,0.182858377
8,1.375290284,0.577710654,0.119445679
9,1.463138569,0.489862369,0.020492593
10,1.508551482,0.444449456,0.123998765
11,1.527445499,0.425555438,0.18444321
12,1.532795294,0.420205643,0.205924691
13,1.52606207,0.426938868,0.179315005
14,1.504393531,0.448607407,0.112697178
,,,
"Experiment 10 Rules: j1=1, j2=-0.1, r1=1, r2=9, h=6",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.558440782,1.230462987,1
1,1.425964517,0.362939252,0.419998765
2,1.412677645,0.376226124,0.287776543
3,1.385435386,0.403468383,0.199258025
4,1.332809192,0.456094577,0.092776543
5,1.292094074,0.496809695,0.031554321
6,1.278381034,0.510522735,0.013332099
7,1.276161327,0.512742442,0.010474956
8,1.314414753,0.474489016,0.063609877
9,1.376382547,0.412521222,0.177282716
10,1.401447902,0.387455867,0.245332099
11,1.401238483,0.387665286,0.24464523
12,1.394044205,0.394859564,0.222591358
13,1.378569594,0.410334175,0.182391928
14,1.358091921,0.430811848,0.138411464
,,,
"Experiment 11 Rules: j1=1, j2=-0.1, r1=1, r2=14, h=-6",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.567875583,1.409724209,1
1,1.365969044,0.611630748,0.791109877
2,1.474899374,0.502700418,0.658887654
3,1.543280863,0.434318929,0.510369136
4,1.567910514,0.409689278,0.358332099
5,1.553077538,0.424522254,0.203998765
6,1.503529273,0.474070519,0.05407284
7,1.428533312,0.54906648,0.083493298
8,1.34827375,0.629326042,0.19305679
9,1.287818686,0.689781106,0.262223457
10,1.2615254,0.716074392,0.289779012
11,1.271972575,0.705627217,0.278991134
12,1.313527998,0.664071794,0.233890123
13,1.371296919,0.606302873,0.164103799
14,1.434135938,0.543463855,0.074763139
,,,
"Experiment 12 Rules: j1=1, j2=-0.1, r1=1, r2=14, h=-3",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568735752,1.426067425,1
1,1.375581541,0.619221637,0.791109877
2,1.483140542,0.511662635,0.662220988
