Name: Samuel Steinberg
CS420 Project 4: Genetic Algorithms
Experiments are conducted with the parameters listed above the runs

Number of Genes:,,20
Population Size:,,30
Number of Generations:,,30
Mutation Probability:,,0.033
Crossover Probability:,,0.6
Number of Runs:,,5

Run 1
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0607294,0.590647,7,'01001101000100100100
1,0.379664,0.603719,14,'11110011111001101101
2,0.436393,0.81625,14,'11110011110111101001
3,0.53378,0.81625,11,'11110111001001101000
4,0.482576,0.81625,14,'11101110110010111101
5,0.486282,0.814822,11,'01111001110101000101
6,0.521063,0.814837,12,'11110011100001101101
7,0.471445,0.937559,13,'11110011100101101101
8,0.610129,0.948232,14,'11111011110011101001
9,0.61933,0.948514,14,'11111011110011101001
10,0.690686,0.948269,12,'11111010101001001101
11,0.686957,0.949743,13,'11111010110101101001
12,0.753296,0.949724,12,'11111010110101101000
13,0.62806,0.962879,13,'11110101010110101011
14,0.752655,0.962898,12,'11111010100011101001
15,0.704826,0.994302,14,'11111110000001111111
16,0.72476,0.99491,12,'11111010010011101001
17,0.734648,0.994302,14,'11111111110010101001
18,0.792083,0.994302,13,'11111110110010110100
19,0.78772,0.994293,10,'11111100000010100011
20,0.75694,0.994302,11,'11111110110000001001
21,0.73695,0.994245,13,'01111111100010110101
22,0.733152,0.990381,12,'11111111100110100000
23,0.777988,0.992425,12,'11111101100011001001
24,0.789727,0.990381,14,'11111111100111001001
25,0.751165,0.98493,13,'11110111100110001110
26,0.775599,0.993648,15,'11111111100010110111
27,0.689432,0.987237,10,'11111000000010100111
28,0.863844,0.994606,9,'01111011000000110010
29,0.793808,0.994606,11,'11111110100110001000
Run 2
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0856484,0.866494,8,'10001001100111000001
1,0.327067,0.943488,9,'11100101000010001011
2,0.515451,0.945808,13,'11111100010110011011
3,0.712131,0.956281,7,'11101100000010000001
4,0.791194,0.987266,9,'11111100000011000001
5,0.74589,0.987341,13,'11111100010110011011
6,0.654235,0.956281,12,'11111010000010111011
7,0.740796,0.937685,10,'11111101000011000001
8,0.698226,0.937523,12,'11101100010000111111
9,0.621699,0.944185,14,'11111111010110110010
10,0.726091,0.975638,11,'11111101101010000001
11,0.782679,0.975638,12,'11111100101011001001
12,0.804848,0.99491,12,'11111100011001101001
13,0.80508,0.992814,13,'11011101111110001100
14,0.797264,0.996353,14,'11111111101011000011
15,0.702973,0.987285,15,'11111101101011111001
16,0.702199,0.987341,13,'11111010100010111101
17,0.624755,0.956007,11,'11110010000101100111
18,0.703217,0.955997,12,'11111000010011011101
19,0.7819,0.956025,10,'11111000110110010000
20,0.715432,0.956025,12,'11111110001111100000
21,0.777597,0.956007,14,'11111100110111100101
22,0.829881,0.955961,13,'11111100010011001111
23,0.780215,0.940298,12,'11111010000110011110
24,0.679344,0.961166,13,'10111101110100011101
25,0.684045,0.961148,12,'11111000010011001111
26,0.693312,0.999514,13,'11111110110100001101
27,0.828353,0.999514,13,'11111110110001001101
28,0.779922,0.998294,10,'11111100010011000001
29,0.849884,0.998294,13,'11110100010111110110
Run 3
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.105616,0.829091,9,'11100111100100010000
1,0.463648,0.893402,12,'11111011001111100000
2,0.570067,0.893402,12,'11100101100110010111
3,0.605668,0.893402,11,'11110101000000101111
4,0.644264,0.970808,11,'11101101001001011010
5,0.64391,0.970808,7,'11101101000000010000
6,0.669063,0.970511,12,'11111101101000111000
7,0.641258,0.911497,12,'11111011001011011000
8,0.776693,0.933338,11,'01111101011000001101
9,0.679092,0.933338,12,'11101010001111010011
10,0.725064,0.967757,12,'11111001001011011010
11,0.757569,0.930984,9,'11111000010001001100
12,0.73546,0.933437,14,'11111101001011010111
13,0.74656,0.995346,12,'11111110011010000011
14,0.765883,0.995346,10,'11101110010010000011
15,0.756658,0.995346,12,'11111111000011010010
16,0.825876,0.995346,14,'11111110010011101110
17,0.846936,0.987577,11,'11111011001000110010
18,0.794339,0.987577,15,'11111111011001010111
19,0.723757,0.98493,11,'11101101111000000110
20,0.78344,0.998389,12,'01101101111101000110
21,0.734692,0.966535,13,'11111011101010010011
22,0.735033,0.962299,11,'11111110000010010011
23,0.726144,0.962299,10,'11111001001100010100
24,0.67505,0.982656,13,'11111001100011110110
25,0.691772,0.931216,11,'11111010101001001010
26,0.723898,0.931198,10,'11110110001100101000
27,0.702916,0.839396,12,'11110110001111001010
28,0.659747,0.967026,8,'11111010001001000000
29,0.703666,0.982534,11,'11111011100010000011
Run 4
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0910311,0.822212,12,'11111010011000100111
1,0.398091,0.822212,9,'11110000101100000110
2,0.622381,0.822516,11,'11111011000010011001
3,0.507079,0.838728,11,'11111010110000100110
4,0.613582,0.824261,13,'11111011000110111001
5,0.598411,0.833557,10,'11110000011000011011
6,0.684278,0.961645,12,'11111010011010100011
7,0.70456,0.971189,13,'11111010011100010111
8,0.728738,0.971346,8,'11110011000010000001
9,0.746193,0.996838,15,'11111111111010110100
10,0.701935,0.996838,8,'11111010000000010010
11,0.735794,0.973234,12,'11111100001001111100
12,0.667264,0.97343,12,'10111111110011001000
13,0.693803,0.97701,13,'11111100001001111101
14,0.718003,0.977029,9,'10001010110010101100
15,0.742236,0.986615,12,'11011110001001011011
16,0.741588,0.986615,11,'11111010101000011010
17,0.722892,0.986615,14,'11110111001011001111
18,0.692142,0.968702,14,'11111111001001011101
19,0.72694,0.997866,12,'11111010101000011101
20,0.726537,0.997866,11,'11111011100001010010
21,0.823335,0.997866,12,'01110100111011111000
22,0.770411,0.999085,13,'11111100111001010011
23,0.783356,0.999085,14,'11111111111001010010
24,0.710621,0.999695,12,'11111100111001010010
25,0.81507,0.999714,14,'11111101111001011001
26,0.828789,0.999695,16,'11111101111011100111
27,0.744868,0.999695,13,'11011111111001010001
28,0.820556,0.999762,16,'11111101111110111001
29,0.826604,0.999762,14,'11111111001100111001
Run 5
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0417922,0.302045,12,'11110011000111011010
1,0.217792,0.596665,7,'10000010000110110100
2,0.254261,0.599746,11,'11011111101000001100
3,0.295831,0.715616,11,'11011101100110100100
4,0.411874,0.719238,12,'11101111010110010100
5,0.474291,0.719238,12,'11101111000010101101
6,0.55215,0.824782,15,'11110111100100111111
7,0.526332,0.909236,11,'11110101101000011100
8,0.58851,0.825039,13,'11110111000100101111
9,0.578593,0.96441,14,'10110110110101101111
10,0.528756,0.964115,11,'11110110000000111110
11,0.660158,0.96441,14,'11010110110101101111
12,0.520587,0.969147,14,'11111111000100101111
13,0.632415,0.96441,15,'11111111000100111111
14,0.533933,0.993799,14,'11110100110100111111
15,0.696272,0.96441,15,'11110111110100101111
16,0.64917,0.993799,17,'11110110111011111111
17,0.699901,0.959254,13,'11110101110101110100
18,0.636229,0.959153,17,'11111111111011010111
19,0.688453,0.997171,12,'11110100100101110101
20,0.677611,0.99959,12,'11110010111010110100
21,0.5307,0.997904,15,'10110111110011011111
22,0.554968,0.998532,12,'11110101010101110100
23,0.619259,0.999981,16,'11110111111011111100
24,0.62439,0.996914,11,'11100111100110110000
25,0.589651,0.99379,11,'11100111101100110000
26,0.666377,0.99379,11,'11110101100101110000
27,0.630052,0.993638,10,'11100011010101110000
28,0.621001,0.993799,14,'11110111110101100011
29,0.538636,0.918831,14,'11111010100011110111
